"tot_votes","paul_pct","County","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","log_pop_2015","coal_2015_pct_chg","region","senate_dist","pct_non_white","outcome","fitted","resids"
4927,55.9367,"Magoffin",23016,57.9627,17878,8.9,0.686,0.4857,52.5269,9.7913,-91.27,21153,"other",10.7395,"w",72.10672344675,-16.17002344675
7973,48.752,"Marion",37007,27.731,9512,12.5,0.3128,0.4846,34.7413,9.1603,0,21155,"other",3.5534,"l",63.1601729871052,-14.4081729871052
16666,63.8126,"Marshall",33800,291.532,87824,15.3,0.42,0.4672,21.6316,11.3831,0,21157,"other",10.0963,"w",61.4755381112769,2.3370618887231
3723,75.5842,"Martin",25070,55.7815,12808,7.5,0.3075,0.4963,54.6652,9.4578,-71.86,21159,"other",2.1939,"w",61.9461785975322,13.6380214024678
7092,62.775,"Mason",34122,80.6438,19365,14.8,0.1995,0.4743,39.3453,9.8712,0,21161,"other",12.6827,"w",57.0334787593814,5.74152124061864
31251,63.0348,"McCracken",37972,125.0342,31101,22.5,0.3094,0.4813,10.3474,10.345,0,21145,"other",3.3247,"w",57.7992575964365,5.23554240356348
5541,77.6575,"McCreary",27056,28.8355,12307,7.3,0.7159,0.4907,37.6309,9.4179,0,21147,"other",11.6519,"w",74.7948598313977,2.86264016860231
4501,62.6527,"McLean",36840,67.7269,17099,10.3,0.3175,0.4676,70.728,9.7468,100,21149,"other",10.4918,"w",63.6521320584127,-0.999432058412679
12112,58.1489,"Meade",34894,91.4282,27924,12.7,0.3944,0.4808,24.0927,10.2372,0,21163,"other",11.2162,"w",64.1509181320875,-6.00201813208745
2715,55.7643,"Menifee",29196,31.2294,6358,12.1,0.2045,0.503,105.8139,8.7575,0,21165,"other",5.0959,"w",59.2272419700445,-3.46294197004454
10478,60.7463,"Mercer",34165,86.041,21407,18.9,0.3842,0.4777,31.4273,9.9715,0,21167,"other",8.8242,"w",60.9137274282965,-0.167427428296471
4505,63.1521,"Metcalfe",29794,34.2103,9909,8.6,0.4292,0.4849,67.8943,9.2012,0,21169,"other",4.723,"w",66.5760848971574,-3.4239848971574
4723,81.3466,"Monroe",33435,32.3861,10667,12,0.833,0.4861,63.0697,9.2749,0,21171,"other",6.6185,"w",79.0738579218089,2.27274207819115
11332,54.8888,"Montgomery",33507,139.8794,27608,14.6,0.2925,0.4736,24.3685,10.2259,0,21173,"other",6.9581,"w",59.2478941583261,-4.35909415832612
4612,56.418,"Morgan",24281,34.8306,13275,11.5,0.1333,0.4918,50.6791,9.4936,0,21175,"other",6.629,"w",53.7535226934596,2.66447730654045
12843,57.2608,"Muhlenberg",31472,66.7616,31183,11.3,0.2519,0.4788,21.5747,10.3476,-37.88,21177,"other",7.9146,"w",59.0154802555455,-1.75468025554553
20578,57.0804,"Nelson",37908,108.0836,45126,16.6,0.331,0.4761,14.9086,10.7172,0,21179,"other",9.5843,"w",60.780695168289,-3.70029516828898
2799,48.7674,"Nicholas",32780,36.5374,7131,13.7,0.1865,0.4868,94.3437,8.8722,0,21181,"other",3.6881,"l",58.3995567373077,-9.63215673730768
10247,65.7949,"Ohio",31613,41.2349,24216,8,0.4898,0.4825,27.7818,10.0948,23.58,21183,"other",6.1406,"w",68.1155726510709,-2.32067265107086
32968,64.4564,"Oldham",53671,346.5175,64875,40.1,0.5534,0.4843,10.3702,11.0802,0,21185,"other",11.8875,"w",62.7983764019064,1.65802359809362
