"sch.year","district.name","composite.mean.score"
"2014","Bracken County",19
"2014","Breathitt County",17
"2014","Breckinridge County",19.8
"2014","Bullitt County",19.2
"2014","Burgin Independent",20.4
"2014","Butler County",17.8
"2014","Caldwell County",19.6
"2014","Calloway County",19.9
"2014","Campbell County",21.1
"2014","Campbellsville Independent",17.7
"2014","Carlisle County",17.7
"2014","Carroll County",17.1
"2014","Carter County",18.8
"2014","Casey County",18.3
"2014","Caverna Independent",16.5
"2014","Christian County",17.9
"2014","Clark County",19.1
"2014","Clay County",17.6
"2014","Clinton County",18.5
"2014","Cloverport Independent",18.4
"2014","Corbin Independent",20.4
"2014","Covington Independent",16.7
"2014","Crittenden County",18.1
"2014","Cumberland County",17.5
"2014","Danville Independent",19.3
"2014","Daviess County",19.9
"2014","Dawson Springs Independent",18
"2014","Dayton Independent",17.8
"2014","Edmonson County",19.2
"2014","Elizabethtown Independent",21.4
"2014","Elliott County",17.9
"2014","Eminence Independent",20.7
"2014","Erlanger-Elsmere Independent",19.1
"2014","Estill County",18.9
"2014","Fairview Independent",18.6
"2014","Fayette County",20.7
"2014","Fleming County",18.5
"2014","Floyd County",18.4
"2014","Fort Thomas Independent",23.6
"2014","Frankfort Independent",20
"2014","Franklin County",20.1
"2014","Fulton County",18.6
"2014","Fulton Independent",18.4
"2014","Gallatin County",18.1
"2014","Garrard County",18
"2014","Glasgow Independent",21.3
"2014","Grant County",18.4
"2014","Graves County",19.6
"2014","Grayson County",19.2
"2014","Green County",19.6
"2014","Greenup County",18.5
"2014","Hancock County",19.9
"2014","Hardin County",19.8
"2014","Harlan County",18.2
"2014","Harlan Independent",21.6
"2014","Harrison County",18.8
"2014","Hart County",18.4
"2014","Hazard Independent",19.5
"2014","Henderson County",19.2
"2014","Henry County",18.8
"2014","Hickman County",18.5
"2014","Hopkins County",19.9
"2014","Jackson County",18.1
"2014","Jackson Independent",22.1
"2014","Jefferson County",18.9
"2014","Jenkins Independent",17.2
"2014","Jessamine County",20.2
"2014","Johnson County",19.1
"2014","Kenton County",20
"2014","Knott County",18.5
"2014","Knox County",17.3
"2014","LaRue County",20.1
"2014","Laurel County",19.8
"2014","Lawrence County",18.4
"2014","Lee County",18
"2014","Leslie County",18
"2014","Letcher County",18.4
"2014","Lewis County",18.2
"2014","Lincoln County",18.7
"2014","Livingston County",18.5
"2014","Logan County",19.4
"2014","Ludlow Independent",20
"2014","Lyon County",19.9
"2014","Madison County",20.1
"2014","Magoffin County",16.4
"2014","Marion County",19.5
"2014","Marshall County",20.2
"2014","Martin County",17.9
"2014","Mason County",18.9
"2014","Mayfield Independent",18.7
"2014","McCracken County",20.3
"2014","McCreary County",17.6
"2014","McLean County",18.9
"2014","Meade County",19.6
"2014","Menifee County",17.7
"2014","Mercer County",18.9
"2014","Metcalfe County",19.1
"2014","Middlesboro Independent",18.4
"2014","Monroe County",18.3
"2014","Montgomery County",19.3
"2014","Morgan County",17.9
"2014","Muhlenberg County",18.5
"2014","Murray Independent",21.9
"2014","Nelson County",20.3
"2014","Newport Independent",17.3
"2014","Nicholas County",17.4
"2014","Ohio County",19.4
"2014","Oldham County",22
"2014","Owen County",18.6
"2014","Owensboro Independent",18.7
"2014","Owsley County",17.2
"2014","Paducah Independent",19.3
"2014","Paintsville Independent",22.2
"2014","Paris Independent",18.5
"2014","Pendleton County",18.9
"2014","Perry County",18.2
"2014","Pike County",18.2
"2014","Pikeville Independent",21.1
"2014","Pineville Independent",18.9
"2014","Powell County",18.2
"2014","Pulaski County",19.4
"2014","Raceland-Worthington Independent",19.9
"2014","Robertson County",18.2
"2014","Rockcastle County",18.7
"2014","Rowan County",18.9
"2014","Russell County",18.7
"2014","Russell Independent",20.8
"2014","Russellville Independent",19
"2014","Scott County",20.8
