"","sch.year","district.id","district.name","pct"
"301","2014",4380,"Murray Independent School District",23.76
"302","2014",4410,"Nelson County School District",13.88
"303","2014",4440,"Newport Independent School District",39.46
"304","2014",4470,"Nicholas County School District",27.39
"305","2014",4500,"Ohio County School District",27.16
"306","2014",4530,"Oldham County School District",5.54
"307","2014",4560,"Owen County School District",22.04
"308","2014",4590,"Owensboro Independent School District",29.76
"309","2014",4620,"Owsley County School District",49.49
"310","2014",4650,"Paducah Independent School District",37.1
"311","2014",4680,"Paintsville Independent School District",29.81
"312","2014",4710,"Paris Independent School District",33.84
"313","2014",4740,"Pendleton County School District",20.67
"314","2014",4770,"Perry County School District",32.31
"315","2014",4800,"Pike County School District",29.84
"316","2014",4830,"Pikeville Independent School District",30.37
"317","2014",4860,"Pineville Independent School District",50.18
"318","2014",4890,"Powell County School District",34.86
"319","2014",4950,"Pulaski County School District",28.16
"320","2014",4980,"Raceland-Worthington Independent School District",18.05
"321","2014",5040,"Robertson County School District",28.73
"322","2014",5070,"Rockcastle County School District",29.58
"323","2014",5100,"Rowan County School District",27.09
"324","2014",5160,"Russell County School District",33.54
"325","2014",5130,"Russell Independent School District",15.84
"326","2014",5190,"Russellville Independent School District",36.95
"327","2014",5220,"Science Hill Independent School District",31.31
"328","2014",5260,"Scott County School District",13.81
"329","2014",5320,"Shelby County School District",15.96
"330","2014",5370,"Silver Grove Independent School District",26.72
"331","2014",5400,"Simpson County School District",22.25
"332","2014",5430,"Somerset Independent School District",39.58
"333","2014",5460,"Southgate Independent School District",26.9
"334","2014",5490,"Spencer County School District",10.81
"335","2014",5520,"Taylor County School District",26.16
"336","2014",5550,"Todd County School District",26.41
"337","2014",5580,"Trigg County School District",23.43
"338","2014",5610,"Trimble County School District",20.67
"339","2014",5640,"Union County School District",19.36
"340","2014",5700,"Walton-Verona Independent School District",11.48
"341","2014",5730,"Warren County School District",17.47
"342","2014",5760,"Washington County School District",19.8
"343","2014",5790,"Wayne County School District",33.85
"344","2014",5820,"Webster County School District",22.98
"345","2014",5850,"West Point Independent School District",37.25
"346","2014",5880,"Whitley County School District",38.42
"347","2014",5910,"Williamsburg Independent School District",34.03
"348","2014",5940,"Williamstown Independent School District",27.36
"349","2014",5970,"Wolfe County School District",44.79
"350","2014",6000,"Woodford County School District",14.55
