PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
390195,10549,1808,12357,0.000338304,"$2,587,230",5597,$462.23,YES
390196,1040,275,1315,0.000036001,N/A,N/A,N/A,NO
390197,9590,1575,11165,0.000305670,"$2,337,656",1582,"$1,477.35",YES
390198,2082,597,2679,0.000073344,"$560,912",772,$726.57,YES
390199,941,326,1267,0.000034687,"$265,276",728,$364.39,YES
390201,7250,1034,8284,0.000226795,N/A,5008,$346.36,SCH
390203,3221,629,3850,0.000105403,N/A,N/A,N/A,NO
390204,5314,3238,8552,0.000234133,"$1,790,563",3439,$520.66,YES
390211,8032,1323,9355,0.000256117,"$1,958,690",3072,$637.53,YES
390217,1067,658,1725,0.000047226,"$361,169",878,$411.51,YES
390219,3950,633,4583,0.000125471,"$959,559",1630,$588.57,YES
390220,2003,337,2340,0.000064063,"$489,934",1471,$332.99,YES
390222,3435,1023,4458,0.000122049,N/A,N/A,N/A,NO
390223,13015,4074,17089,0.000467855,"$3,577,986",4320,$828.24,YES
390225,2542,390,2932,0.000080271,"$613,883",1994,$307.81,YES
390226,25432,4195,29627,0.000811114,"$6,203,112",4371,"$1,419.04",YES
390228,6142,617,6759,0.000185045,N/A,N/A,N/A,NO
390231,11359,1994,13353,0.000365572,N/A,N/A,N/A,NO
390233,1899,282,2181,0.000059710,N/A,N/A,N/A,NO
390236,779,283,1062,0.000029075,"$222,355",560,$397.30,YES
390237,3231,1859,5090,0.000139352,N/A,N/A,N/A,NO
390256,38132,2349,40481,0.001108270,"$8,475,653",5917,"$1,432.42",YES
390258,10273,1402,11675,0.000319633,N/A,N/A,N/A,NO
390263,3053,1080,4133,0.000113151,N/A,N/A,N/A,NO
390265,4203,919,5122,0.000140228,N/A,N/A,N/A,NO
390266,971,121,1092,0.000029896,"$228,636",630,$363.11,YES
390267,4270,1332,5602,0.000153369,N/A,N/A,N/A,NO
390268,3164,875,4039,0.000110578,N/A,N/A,N/A,NO
390270,11583,1615,13198,0.000361329,"$2,763,313",4515,$612.03,YES
390272,2489,236,2725,0.000074604,"$570,543",246,"$2,322.43",YES
390278,2964,561,3525,0.000096506,"$738,042",503,"$1,466.31",YES
390290,35652,7817,43469,0.001190074,"$9,101,262",3753,"$2,425.06",YES
390302,0,2,2,0.000000055,N/A,N/A,N/A,NO
390304,2442,1178,3620,0.000099107,"$757,932",1522,$498.09,YES
390307,21,8,29,0.000000794,N/A,N/A,N/A,NO
390312,0,79,79,0.000002163,N/A,N/A,N/A,NO
390313,48,60,108,0.000002957,N/A,N/A,N/A,NO
390314,64,37,101,0.000002765,N/A,N/A,N/A,NO
390316,0,4,4,0.000000110,N/A,N/A,N/A,NO
390318,51,18,69,0.000001889,N/A,N/A,N/A,NO
390321,82,16,98,0.000002683,N/A,N/A,N/A,NO
390322,0,10,10,0.000000274,N/A,N/A,N/A,NO
390323,3,0,3,0.000000082,N/A,N/A,N/A,NO
390324,0,3,3,0.000000082,N/A,N/A,N/A,NO
390325,96,9,105,0.000002875,N/A,N/A,N/A,NO
390326,268,251,519,0.000014209,N/A,N/A,N/A,NO
390327,7,0,7,0.000000192,N/A,N/A,N/A,NO
390328,1912,49,1961,0.000053687,N/A,N/A,N/A,NO
390329,,,,,N/A,N/A,N/A,NO
400001,0,12,12,0.000000329,N/A,N/A,N/A,NO
400003,8397,32,8429,0.000230765,N/A,N/A,N/A,NO
400004,0,0,0,,N/A,N/A,N/A,NO
400005,4836,26,4862,0.000133110,N/A,N/A,N/A,NO
400006,7341,14,7355,0.000201362,"$1,539,943",388,"$3,965.52",YES
400007,13382,42,13424,0.000367516,"$2,810,631",623,"$4,513.86",YES
400009,2822,22,2844,0.000077862,"$595,459",257,"$2,316.96",YES
400010,246,0,246,0.000006735,"$51,506",53,$965.74,YES
400011,4558,33,4591,0.000125690,"$961,234",219,"$4,389.20",YES
400012,2046,0,2046,0.000056014,"$428,378",100,"$4,283.78",YES
400013,12409,32,12441,0.000340604,"$2,604,817",900,"$2,894.24",YES
400014,0,61,61,0.000001670,N/A,N/A,N/A,NO
400015,13858,1,13859,0.000379425,"$2,901,709",202,"$14,364.90",YES
400016,9085,36,9121,0.000249710,N/A,N/A,N/A,NO
400018,10430,33,10463,0.000286451,"$2,190,676",845,"$2,593.54",YES
400019,3957,33,3990,0.000109236,N/A,N/A,N/A,NO
400021,10576,42,10618,0.000290695,"$2,223,129",951,"$2,337.68",YES
400022,13299,50,13349,0.000365463,"$2,794,928",1076,"$2,598.32",YES
400024,0,0,0,,N/A,N/A,N/A,NO
400026,0,0,0,,N/A,N/A,N/A,NO
400032,18692,15,18707,0.000512151,"$3,916,752",761,"$5,144.60",YES
400044,16546,177,16723,0.000457834,"$3,501,355",1618,"$2,163.56",YES
400048,9935,57,9992,0.000273556,"$2,092,061",512,"$4,088.72",YES
400061,18918,50,18968,0.000519297,"$3,971,399",655,"$6,063.20",YES
400079,16547,56,16603,0.000454549,"$3,476,230",673,"$5,165.28",YES
400087,14290,101,14391,0.000393990,"$3,013,096",828,"$3,637.54",YES
400098,9599,35,9634,0.000263755,"$2,017,105",408,"$4,939.85",YES
400102,12263,27,12290,0.000336470,"$2,573,202",441,"$5,839.34",YES
400103,7742,58,7800,0.000213545,N/A,N/A,N/A,NO
400104,1261,0,1261,0.000034523,"$264,020",399,$661.70,YES
400105,5707,6,5713,0.000156408,"$1,196,151",163,"$7,353.39",YES
400106,5613,27,5640,0.000154409,N/A,N/A,N/A,NO
400109,0,27,27,0.000000739,N/A,N/A,N/A,NO
400110,4413,31,4444,0.000121666,"$930,456",471,"$1,974.09",YES
400111,4782,18,4800,0.000131412,"$1,004,993",399,"$2,520.89",YES
400112,14179,99,14278,0.000390896,"$2,989,436",758,"$3,943.85",YES
400113,7777,51,7828,0.000214311,"$1,638,977",622,"$2,633.60",YES
400114,20105,183,20288,0.000555435,"$4,247,772",1442,"$2,945.75",YES
400115,7839,8,7847,0.000214831,"$1,642,955",202,"$8,120.04",YES
400117,6460,8,6468,0.000177078,"$1,354,229",608,"$2,226.13",YES
400118,17431,131,17562,0.000480804,"$3,677,019",1429,"$2,573.74",YES
400120,31410,82,31492,0.000862173,"$6,593,594",1446,"$4,560.94",YES
400121,2063,0,2063,0.000056480,N/A,N/A,N/A,NO
400122,0,0,0,,N/A,N/A,N/A,NO
400123,7088,90,7178,0.000196516,"$1,502,884",589,"$2,553.03",YES
400124,7954,15,7969,0.000218172,N/A,N/A,N/A,NO
400125,2713,15,2728,0.000074686,N/A,N/A,N/A,NO
400126,2669,22,2691,0.000073673,"$563,424",291,"$1,936.17",YES
400127,6340,0,6340,0.000173574,"$1,327,429",54,"$24,431.20",YES
400128,13311,20,13331,0.000364970,"$2,791,160",234,"$11,928.03",YES
400130,0,0,0,,N/A,N/A,N/A,NO
400131,0,0,0,,N/A,N/A,N/A,NO
410001,4755,1357,6112,0.000167331,"$1,279,692",1892,$676.25,YES
410004,5425,1644,7069,0.000193532,"$1,480,062",2295,$644.91,YES
410005,1565,810,2375,0.000065022,N/A,N/A,N/A,NO
410006,2573,663,3236,0.000088594,"$677,533",1583,$428.10,YES
410007,40337,5723,46060,0.001261009,"$9,643,749",8453,"$1,140.91",YES
410008,1150,241,1391,0.000038082,N/A,N/A,N/A,NO
410009,13895,3035,16930,0.000463502,"$3,544,695",4518,$784.63,YES
410010,35635,322,35957,0.000984414,"$7,528,447",500,"$15,066.94",YES
410011,4397,1145,5542,0.000151726,"$1,160,349",2129,$545.11,YES
410012,5465,2588,8053,0.000220471,N/A,N/A,N/A,NO
410013,1185,247,1432,0.000039205,N/A,N/A,N/A,NO
420002,14497,2291,16788,0.000459614,"$3,514,964",5335,$658.81,YES
420004,71722,5679,77401,0.002119048,"$16,205,727",8037,"$2,016.47",YES
420005,2973,728,3701,0.000101324,"$774,892",952,$814.25,YES
420007,30839,4727,35566,0.000973709,"$7,446,582",8898,$836.88,YES
420009,4133,924,5057,0.000138448,N/A,3230,$327.80,SCH
420010,5417,1204,6621,0.000181267,"$1,386,263",1929,$718.77,YES
420011,471,133,604,0.000016536,"$126,462",384,$329.61,YES
420015,3612,815,4427,0.000121200,"$926,897",1586,$584.55,YES
420016,206,118,324,0.000008870,N/A,350,$193.64,SCH
420018,59839,7123,66962,0.001833254,"$14,020,076",7113,"$1,970.96",YES
420019,719,274,993,0.000027186,"$207,908",656,$317.09,YES
420020,4688,1346,6034,0.000165196,"$1,263,360",2135,$591.83,YES
420023,8903,1860,10763,0.000294664,"$2,253,488",6892,$326.99,YES
420026,2861,1423,4284,0.000117285,N/A,N/A,N/A,NO
420027,14691,2736,17427,0.000477108,"$3,648,754",7025,$519.37,YES
420030,3719,1599,5318,0.000145594,N/A,1700,$654.97,SCH
420033,2480,302,2782,0.000076164,"$582,477",1150,$506.65,YES
420036,6144,1321,7465,0.000204373,"$1,562,974",2629,$594.59,YES
420037,220,115,335,0.000009171,N/A,N/A,N/A,NO
420038,2877,685,3562,0.000097519,N/A,1249,$597.11,SCH
420039,1367,540,1907,0.000052209,"$399,275",1012,$394.67,YES
420043,2534,584,3118,0.000085363,"$652,827",1079,$604.84,YES
420048,4071,1231,5302,0.000145156,"$1,110,099",2238,$496.02,YES
420049,9034,1267,10301,0.000282016,"$2,156,758",2998,$719.32,YES
420051,32437,7239,39676,0.001086231,"$8,307,107",9452,$878.87,YES
420053,1775,203,1978,0.000054153,N/A,817,$506.90,SCH
420054,1169,283,1452,0.000039752,"$304,010",492,$617.91,YES
420055,3420,919,4339,0.000118791,"$908,472",1363,$666.36,YES
420056,15,0,15,0.000000411,N/A,N/A,N/A,NO
420057,210,117,327,0.000008952,"$68,465",171,$401.16,YES
420062,1294,460,1754,0.000048020,"$367,241",919,$399.46,YES
420064,961,270,1231,0.000033702,N/A,N/A,N/A,NO
420065,6787,1060,7847,0.000214831,"$1,642,955",2677,$613.73,YES
420066,386,204,590,0.000016153,"$123,530",407,$303.76,YES
420067,7837,1507,9344,0.000255816,N/A,3070,$637.26,SCH
420068,11965,3550,15515,0.000424762,N/A,3625,$896.20,SCH
420069,3179,734,3913,0.000107128,"$819,279",801,"$1,023.25",YES
420070,12665,4333,16998,0.000465363,"$3,558,933",4385,$811.62,YES
420071,13159,1739,14898,0.000407870,N/A,4663,$668.89,SCH
420072,357,211,568,0.000015550,"$118,924",386,$308.09,YES
420073,18247,2451,20698,0.000566660,"$4,333,615",6296,$688.35,YES
420078,61946,4360,66306,0.001815294,"$13,882,727",8982,"$1,545.62",YES
420079,16050,3346,19396,0.000531015,"$4,061,011",7478,$543.04,YES
420080,2799,319,3118,0.000085363,N/A,2501,$261.06,SCH
420082,12081,1694,13775,0.000377125,"$2,884,122",3838,$751.40,YES
420083,4965,644,5609,0.000153561,"$1,174,377",2299,$510.82,YES
420085,9590,1668,11258,0.000308216,"$2,357,128",7072,$333.32,YES
420086,22325,2204,24529,0.000671543,"$5,135,725",3469,"$1,480.61",YES
420087,6497,2088,8585,0.000235036,"$1,797,472",6684,$268.91,YES
420089,1887,183,2070,0.000056671,N/A,N/A,N/A,NO
420091,11683,5853,17536,0.000480092,"$3,671,576",6155,$596.49,YES
420098,3155,525,3680,0.000100749,N/A,N/A,N/A,NO
420101,606,230,836,0.000022888,"$175,036",829,$211.23,YES
420102,51,22,73,0.000001999,N/A,N/A,N/A,NO
420103,0,110,110,0.000003012,"$23,031",587,$39.26,YES
420104,571,77,648,0.000017741,"$135,674",413,$328.77,YES
420105,2246,743,2989,0.000081831,"$625,818",1707,$366.73,YES
430005,1465,218,1683,0.000046076,"$352,376",1637,$215.26,YES
430008,345,26,371,0.000010157,N/A,N/A,N/A,NO
430012,2374,374,2748,0.000075233,N/A,1550,$371.12,SCH
430013,1343,228,1571,0.000043010,"$328,926",1092,$301.12,YES
430014,2006,524,2530,0.000069265,N/A,N/A,N/A,NO
430015,1164,110,1274,0.000034879,"$266,742",581,$458.85,YES
430016,26904,2564,29468,0.000806761,"$6,169,822",6599,$935.01,YES
430027,26966,2625,29591,0.000810128,"$6,195,575",7788,$795.53,YES
430048,824,105,929,0.000025434,N/A,525,$370.73,SCH
430077,22055,4124,26179,0.000716716,N/A,5358,"$1,022.93",SCH
430081,1707,156,1863,0.000051004,"$390,063",138,"$2,819.73",YES
430082,20,0,20,0.000000548,"$4,187",2,"$2,791.65",YES
430083,226,22,248,0.000006790,"$51,925",21,"$2,472.60",YES
430084,820,119,939,0.000025707,"$196,602",137,"$1,438.55",YES
430089,85,33,118,0.000003231,N/A,N/A,N/A,NO
430090,34,42,76,0.000002081,N/A,N/A,N/A,NO
430091,116,22,138,0.000003778,N/A,N/A,N/A,NO
430092,21,14,35,0.000000958,N/A,N/A,N/A,NO
430093,7,5,12,0.000000329,N/A,N/A,N/A,NO
430094,1,4,5,0.000000137,N/A,N/A,N/A,NO
430095,278,151,429,0.000011745,N/A,N/A,N/A,NO
430096,38,28,66,0.000001807,N/A,N/A,N/A,NO
430097,0,26,26,0.000000712,"$5,444",407,$13.39,YES
440001,106,258,364,0.000009965,N/A,N/A,N/A,NO
440002,25529,7094,32623,0.000893137,"$6,830,395",12809,$533.24,YES
440003,4223,1139,5362,0.000146798,"$1,122,661",2443,$459.60,YES
440006,11379,3778,15157,0.000414961,"$3,173,476",3925,$808.46,YES
440007,486,308,794,0.000021738,"$166,243",526,$316.25,YES
440008,187,190,377,0.000010321,"$78,934",537,$146.90,YES
440009,4156,1304,5460,0.000149481,N/A,2955,$386.82,SCH
440010,143,119,262,0.000007173,"$54,856",378,$144.99,YES
440011,5808,1828,7636,0.000209055,"$1,598,777",4040,$395.77,YES
440012,7510,3591,11101,0.000303918,"$2,324,256",5395,$430.84,YES
440015,38319,5216,43535,0.001191881,"$9,115,080",7207,"$1,264.75",YES
440016,211,127,338,0.000009254,"$70,768",358,$197.68,YES
440017,13173,3953,17126,0.000468868,"$3,585,733",5975,$600.12,YES
440018,1628,729,2357,0.000064529,"$493,494",1240,$397.98,YES
440020,918,247,1165,0.000031895,"$243,920",665,$366.98,YES
440025,2282,742,3024,0.000082790,"$633,146",1506,$420.51,YES
440029,2476,410,2886,0.000079012,N/A,N/A,N/A,NO
440030,5045,1473,6518,0.000178447,"$1,364,697",2438,$559.84,YES
440031,880,374,1254,0.000034331,"$262,555",848,$309.74,YES
440032,550,370,920,0.000025187,"$192,624",486,$396.35,YES
440033,972,662,1634,0.000044735,"$342,116",912,$374.99,YES
440034,6141,2997,9138,0.000250176,"$1,913,256",4462,$428.79,YES
440035,8219,1829,10048,0.000275089,"$2,103,786",3896,$540.03,YES
440039,76058,4972,81030,0.002218401,"$16,965,544",10533,"$1,610.70",YES
440040,395,67,462,0.000012648,"$96,731",408,$237.28,YES
440046,2893,905,3798,0.000103980,"$795,201",1922,$413.66,YES
440047,34,26,60,0.000001643,N/A,N/A,N/A,NO
440048,34567,9845,44412,0.001215891,"$9,298,701",13467,$690.48,YES
440049,93985,16316,110301,0.003019769,"$23,094,119",19180,"$1,204.07",YES
440050,1910,661,2571,0.000070388,"$538,300",680,$792.01,YES
440051,1223,337,1560,0.000042709,"$326,623",705,$463.51,YES
440053,12041,2256,14297,0.000391417,"$2,993,415",5228,$572.54,YES
440056,559,338,897,0.000024558,N/A,N/A,N/A,NO
440057,790,548,1338,0.000036631,"$280,142",765,$366.20,YES
440058,3152,1281,4433,0.000121365,"$928,153",2313,$401.22,YES
440059,10687,2781,13468,0.000368721,"$2,819,844",6325,$445.83,YES
440060,135,70,205,0.000005612,"$42,922",161,$267.15,YES
440061,1553,331,1884,0.000051579,"$394,460",1024,$385.09,YES
440063,31810,7157,38967,0.001066820,"$8,158,662",8796,$927.51,YES
440064,663,526,1189,0.000032552,"$248,945",704,$353.78,YES
440065,3106,972,4078,0.000111646,"$853,826",1246,$685.07,YES
440067,2262,959,3221,0.000088183,"$674,392",1120,$601.96,YES
440068,2753,776,3529,0.000096615,"$738,879",946,$781.06,YES
440070,148,192,340,0.000009308,"$71,187",479,$148.72,YES
440072,2681,1033,3714,0.000101680,"$777,614",2444,$318.17,YES
440073,8819,1771,10590,0.000289928,"$2,217,267",5357,$413.88,YES
440081,3324,379,3703,0.000101379,"$775,310",1101,$703.97,YES
440082,6287,2347,8634,0.000236378,N/A,N/A,N/A,NO
440083,943,964,1907,0.000052209,"$399,275",1190,$335.53,YES
440084,1497,909,2406,0.000065870,"$503,753",1009,$499.26,YES
440091,3221,3542,6763,0.000185154,N/A,N/A,N/A,NO
440102,1250,218,1468,0.000040190,"$307,360",712,$431.48,YES
440104,44287,4803,49090,0.001343963,"$10,278,151",6362,"$1,615.64",YES
440109,1791,396,2187,0.000059875,"$457,900",712,$643.42,YES
440110,411,247,658,0.000018014,N/A,N/A,N/A,NO
440111,5174,400,5574,0.000152602,"$1,167,049",312,"$3,736.55",YES
440120,11532,4048,15580,0.000426542,"$3,262,041",7234,$450.93,YES
440125,15687,2988,18675,0.000511275,"$3,910,052",4238,$922.54,YES
440130,1549,326,1875,0.000051333,"$392,576",1069,$367.35,YES
440131,1917,203,2120,0.000058040,"$443,872",414,"$1,073.02",YES
440132,1770,435,2205,0.000060367,"$461,669",1721,$268.26,YES
440133,23269,2835,26104,0.000714663,"$5,465,489",5075,"$1,076.87",YES
440137,844,367,1211,0.000033154,"$253,551",1127,$224.91,YES
440141,287,309,596,0.000016317,"$124,787",359,$347.60,YES
440144,4067,1214,5281,0.000144581,"$1,105,702",2603,$424.78,YES
440147,0,0,0,,N/A,N/A,N/A,NO
440148,221,213,434,0.000011882,N/A,N/A,N/A,NO
440150,6089,1663,7752,0.000212231,"$1,623,064",3304,$491.24,YES
440151,2354,761,3115,0.000085281,"$652,199",1409,$462.88,YES
440152,50131,2301,52432,0.001435459,"$10,977,877",1009,"$10,883.55",YES
440153,1043,843,1886,0.000051634,"$394,879",807,$489.11,YES
440156,31642,3426,35068,0.000960075,"$7,342,314",4657,"$1,576.73",YES
440159,1982,575,2557,0.000070004,"$535,368",657,$815.28,YES
440161,26965,3837,30802,0.000843283,"$6,449,126",6632,$972.38,YES
440162,0,0,0,,N/A,N/A,N/A,NO
440168,59,32,91,0.000002491,N/A,N/A,N/A,NO
440173,15190,3769,18959,0.000519051,"$3,969,514",6760,$587.18,YES
440174,232,199,431,0.000011800,"$90,240",324,$278.81,YES
440175,1666,360,2026,0.000055467,"$424,191",1105,$384.00,YES
440176,4544,1434,5978,0.000163663,"$1,251,635",1745,$717.41,YES
440180,1625,616,2241,0.000061353,"$469,206",663,$707.70,YES
440181,103,54,157,0.000004298,"$32,872",180,$182.62,YES
440182,1619,336,1955,0.000053523,"$409,325",607,$673.97,YES
440183,20406,4563,24969,0.000683590,"$5,227,850",4462,"$1,171.55",YES
440184,3568,479,4047,0.000110797,"$847,335",1070,$791.90,YES
440185,7681,2236,9917,0.000271503,"$2,076,358",3805,$545.64,YES
440186,654,214,868,0.000023764,N/A,N/A,N/A,NO
440187,2024,1156,3180,0.000087061,"$665,808",1522,$437.36,YES
440189,4846,2114,6960,0.000190548,"$1,457,240",3315,$439.59,YES
440192,505,237,742,0.000020314,"$155,355",633,$245.30,YES
440193,5697,1492,7189,0.000196817,"$1,505,187",1996,$753.98,YES
440194,3808,647,4455,0.000121967,"$932,759",1591,$586.40,YES
440197,2074,644,2718,0.000074412,"$569,077",1286,$442.63,YES
440200,104,78,182,0.000004983,"$38,106",264,$144.34,YES
440218,38,12,50,0.000001369,N/A,N/A,N/A,NO
440227,4071,375,4446,0.000121720,"$930,875",1174,$792.91,YES
440228,4853,1504,6357,0.000174039,"$1,330,988",2249,$591.90,YES
440231,0,0,0,,N/A,N/A,N/A,NO
440232,,,,,N/A,N/A,N/A,NO
450002,31421,6086,37507,0.001026849,"$7,852,976",3553,"$2,210.03",YES
450005,1813,222,2035,0.000055713,"$426,075",657,$648.52,YES
450007,1525,487,2012,0.000055084,N/A,N/A,N/A,NO
450008,0,0,0,,N/A,N/A,N/A,NO
450010,12210,2371,14581,0.000399192,N/A,6432,$474.66,SCH
450011,12600,2544,15144,0.000414605,"$3,170,754",6679,$474.76,YES
450015,134284,3821,138105,0.003780974,"$28,915,543",3493,"$8,277.35",YES
450018,45802,2620,48422,0.001325675,"$10,138,289",3731,"$2,717.55",YES
450021,42356,9392,51748,0.001416732,"$10,834,666",12952,$836.50,YES
450023,3858,1275,5133,0.000140529,"$1,074,715",3760,$285.80,YES
450024,23028,2680,25708,0.000703821,"$5,382,577",1528,"$3,523.40",YES
450028,17356,6791,24147,0.000661085,"$5,055,745",2340,"$2,160.27",YES
450029,27371,12234,39605,0.001084287,"$8,292,242",5312,"$1,561.14",YES
450032,3491,765,4256,0.000116519,"$891,094",1527,$583.56,YES
450033,22347,8746,31093,0.000851249,"$6,510,054",5718,"$1,138.45",YES
450034,16201,3916,20117,0.000550754,"$4,211,969",7122,$591.37,YES
450035,31616,3147,34763,0.000951725,"$7,278,455",1805,"$4,033.13",YES
450037,26580,3549,30129,0.000824858,"$6,308,218",7309,$863.11,YES
450039,60768,3329,64097,0.001754817,"$13,420,221",2540,"$5,283.55",YES
450040,14738,5424,20162,0.000551986,"$4,221,391",10120,$417.12,YES
450042,8851,2495,11346,0.000310625,"$2,375,553",6199,$383.24,YES
450044,12885,4690,17575,0.000481160,"$3,679,741",5309,$693.16,YES
450046,34938,14327,49265,0.001348754,"$10,314,791",9176,"$1,124.15",YES
450051,34703,6202,40905,0.001119878,"$8,564,428",5061,"$1,692.24",YES
450052,462,30,492,0.000013470,"$103,012",327,$315.34,YES
450054,34137,4724,38861,0.001063918,"$8,136,468",11044,$736.73,YES
450055,641,197,838,0.000022942,N/A,515,$340.69,SCH
450056,16520,2613,19133,0.000523814,"$4,005,945",7198,$556.51,YES
450058,71252,16910,88162,0.002413658,"$18,458,797",15810,"$1,167.56",YES
450064,11324,2145,13469,0.000368748,"$2,820,053",4109,$686.37,YES
450068,80281,8143,88424,0.002420831,"$18,513,652",5991,"$3,090.07",YES
450072,2420,707,3127,0.000085610,"$654,711",1976,$331.33,YES
450073,855,71,926,0.000025352,N/A,263,$738.12,SCH
450076,4117,3118,7235,0.000198076,N/A,N/A,N/A,NO
450078,121,331,452,0.000012375,"$94,637",236,$401.57,YES
450079,11603,2250,13853,0.000379261,"$2,900,453",3323,$872.75,YES
450080,3704,292,3996,0.000109401,"$836,657",1047,$798.84,YES
450082,1795,551,2346,0.000064228,N/A,693,$709.13,SCH
450083,19546,4922,24468,0.000669873,"$5,122,954",8957,$571.93,YES
450085,843,90,933,0.000025543,"$195,346",466,$419.50,YES
450087,2743,1057,3800,0.000104035,N/A,N/A,N/A,NO
450090,1690,232,1922,0.000052620,"$402,416",582,$691.44,YES
450092,5108,4642,9750,0.000266931,"$2,041,393",1630,"$1,252.39",YES
450097,31144,6215,37359,0.001022797,"$7,821,989",4130,"$1,893.79",YES
450099,358,184,542,0.000014839,N/A,782,$145.12,SCH
450101,16337,1214,17551,0.000480503,"$3,674,716",3185,"$1,153.64",YES
450102,19756,3251,23007,0.000629875,"$4,817,059",10081,$477.82,YES
450104,3245,607,3852,0.000105458,"$806,507",1759,$458.59,YES
450107,35678,15204,50882,0.001393023,"$10,653,348",7034,"$1,514.55",YES
450108,191,195,386,0.000010568,N/A,N/A,N/A,NO
450119,39380,10459,49839,0.001364469,"$10,434,972",5525,"$1,888.68",YES
450123,148,62,210,0.000005749,N/A,N/A,N/A,NO
450124,29478,2001,31479,0.000861817,"$6,590,872",2286,"$2,882.73",YES
450128,14781,5748,20529,0.000562033,"$4,298,231",3103,"$1,385.33",YES
450130,14188,3052,17240,0.000471989,"$3,609,601",2089,"$1,728.18",YES
450132,14237,3636,17873,0.000489319,"$3,742,135",4843,$772.69,YES
450133,8261,1832,10093,0.000276321,"$2,113,208",3583,$589.73,YES
450135,35351,6872,42223,0.001155961,"$8,840,382",10816,$817.34,YES
450137,28797,3488,32285,0.000883883,"$6,759,627",5199,"$1,300.26",YES
450143,7,104,111,0.000003039,N/A,N/A,N/A,NO
450144,527,56,583,0.000015961,N/A,161,$759.74,SCH
450147,8976,2114,11090,0.000303617,"$2,321,953",3136,$740.42,YES
450148,2440,354,2794,0.000076493,"$584,990",1184,$494.08,YES
450152,8022,1458,9480,0.000259539,"$1,984,862",2449,$810.37,YES
450154,2067,1434,3501,0.000095849,N/A,1086,$675.18,SCH
450155,1051,79,1130,0.000030937,"$236,592",182,"$1,299.96",YES
450162,358,100,458,0.000012539,"$95,893",492,$194.90,YES
450163,3028,2028,5056,0.000138421,"$1,058,593",1277,$829.19,YES
450165,1056,513,1569,0.000042955,"$328,507",683,$480.74,YES
450176,18787,9515,28302,0.000774839,"$5,925,692",3276,"$1,808.64",YES
450177,2093,766,2859,0.000078272,N/A,715,$837.20,SCH
450178,195,246,441,0.000012073,N/A,454,$203.38,SCH
450184,67826,16208,84034,0.002300643,"$17,594,502",14966,"$1,175.63",YES
450187,1431,116,1547,0.000042353,"$323,901",697,$464.49,YES
450188,287,393,680,0.000018617,"$142,374",726,$196.02,YES
450192,1057,167,1224,0.000033510,"$256,273",739,$346.78,YES
450193,13660,8086,21746,0.000595352,"$4,553,039",9208,$494.47,YES
450194,1887,201,2088,0.000057164,N/A,705,$619.81,SCH
450196,3863,1675,5538,0.000151617,"$1,159,511",3803,$304.87,YES
450200,9720,1418,11138,0.000304931,"$2,332,003",2754,$846.87,YES
450203,2479,441,2920,0.000079942,"$611,371",2014,$303.61,YES
450209,28654,2194,30848,0.000844542,"$6,458,757",4228,"$1,527.62",YES
450210,511,120,631,0.000017275,N/A,446,$296.00,SCH
450211,4974,1953,6927,0.000189644,"$1,450,331",3408,$425.57,YES
450213,44990,3090,48080,0.001316312,"$10,066,683",2604,"$3,865.85",YES
450214,1731,241,1972,0.000053988,"$412,885",522,$790.46,YES
450219,742,65,807,0.000022094,"$168,965",352,$479.56,YES
450221,773,34,807,0.000022094,N/A,287,$588.73,SCH
450222,11989,3951,15940,0.000436398,"$3,337,415",4873,$684.83,YES
450229,12789,2873,15662,0.000428787,"$3,279,210",6001,$546.41,YES
450231,12254,2320,14574,0.000399000,"$3,051,411",7715,$395.52,YES
450234,30,46,76,0.000002081,N/A,N/A,N/A,NO
450235,783,132,915,0.000025050,"$191,577",393,$487.47,YES
450236,3508,394,3902,0.000106827,"$816,976",1267,$644.64,YES
450237,22615,9524,32139,0.000879886,"$6,729,059",8253,$815.35,YES
450241,12,45,57,0.000001561,N/A,N/A,N/A,NO
450243,25,33,58,0.000001588,N/A,N/A,N/A,NO
450253,107,51,158,0.000004326,N/A,N/A,N/A,NO
450271,2617,355,2972,0.000081366,"$622,258",1687,$368.78,YES
450272,4411,468,4879,0.000133575,"$1,021,534",1566,$652.18,YES
450280,8044,2385,10429,0.000285520,"$2,183,557",3948,$553.08,YES
450289,103043,3364,106407,0.002913161,"$22,278,818",1871,"$11,907.44",YES
450292,1618,346,1964,0.000053769,"$411,210",902,$455.89,YES
450293,600,207,807,0.000022094,"$168,965",138,"$1,227.35",YES
450296,1051,610,1661,0.000045474,"$347,770",620,$560.62,YES
450299,6701,523,7224,0.000197775,"$1,512,515",2204,$686.36,YES
450306,78,95,173,0.000004736,"$36,222",171,$212.24,YES
450324,10656,1847,12503,0.000342301,"$2,617,798",4195,$623.98,YES
450330,8184,1202,9386,0.000256965,"$1,965,181",1566,"$1,255.17",YES
450340,4445,1666,6111,0.000167304,"$1,279,482",2112,$605.91,YES
450346,16355,3461,19816,0.000542513,"$4,148,948",5302,$782.52,YES
450347,2005,326,2331,0.000063817,"$488,050",1321,$369.45,YES
450348,204,230,434,0.000011882,N/A,313,$290.31,SCH
450351,1175,123,1298,0.000035536,N/A,845,$321.62,SCH
