PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
050232,2425,289,2714,0.000074303,"$568,240",1993,$285.17,YES
050234,511,150,661,0.000018097,N/A,N/A,N/A,NO
050235,17832,8155,25987,0.000711460,"$5,440,992",6062,$897.56,YES
050236,2470,946,3416,0.000093522,"$715,220",1908,$374.85,YES
050238,13264,6873,20137,0.000551301,"$4,216,156",5469,$770.92,YES
050239,29441,17554,46995,0.001286607,"$9,839,513",5812,"$1,692.87",YES
050242,10202,1745,11947,0.000327079,"$2,501,387",4324,$578.53,YES
050243,25555,2368,27923,0.000764463,"$5,846,339",3254,"$1,796.85",YES
050245,77514,3632,81146,0.002221577,"$16,989,831",1820,"$9,336.78",YES
050248,21476,1153,22629,0.000619526,"$4,737,916",834,"$5,678.68",YES
050254,3981,705,4686,0.000128291,"$981,125",2361,$415.61,YES
050257,4865,2438,7303,0.000199938,"$1,529,055",936,"$1,634.19",YES
050261,12248,2333,14581,0.000399192,"$3,052,877",2208,"$1,382.85",YES
050262,40543,7277,47820,0.001309193,"$10,012,246",5535,"$1,809.01",YES
050272,9141,1228,10369,0.000283878,"$2,170,995",1637,"$1,326.47",YES
050276,20076,1070,21146,0.000578925,"$4,427,414",872,"$5,075.37",YES
050277,18935,3959,22894,0.000626781,"$4,793,400",1666,"$2,876.62",YES
050278,21231,7382,28613,0.000783353,"$5,990,807",4060,"$1,475.45",YES
050279,3447,820,4267,0.000116820,"$893,397",815,"$1,096.19",YES
050280,15560,1779,17339,0.000474699,"$3,630,329",5596,$648.74,YES
050281,3853,4931,8784,0.000240484,"$1,839,138",1495,"$1,229.92",YES
050283,5069,915,5984,0.000163827,"$1,252,892",2385,$525.32,YES
050289,5593,4572,10165,0.000278293,"$2,128,283",2678,$794.83,YES
050290,1047,2344,3391,0.000092837,N/A,N/A,N/A,NO
050291,10002,666,10668,0.000292063,"$2,233,598",1451,"$1,539.00",YES
050292,54220,3995,58215,0.001593783,"$12,188,685",1803,"$6,758.97",YES
050295,10295,2140,12435,0.000340440,"$2,603,561",2588,"$1,005.88",YES
050296,2128,222,2350,0.000064337,"$492,028",815,$603.72,YES
050298,2139,353,2492,0.000068225,N/A,819,$637.33,SCH
050300,18733,3780,22513,0.000616350,"$4,713,628",3800,"$1,240.32",YES
050301,3033,581,3614,0.000098942,"$756,676",1407,$537.79,YES
050305,40121,2681,42802,0.001171813,"$8,961,609",3317,"$2,701.45",YES
050308,6329,2548,8877,0.000243030,"$1,858,610",5144,$361.34,YES
050309,11299,1494,12793,0.000350241,"$2,678,517",5817,$460.46,YES
050313,3856,804,4660,0.000127579,"$975,681",1278,$763.44,YES
050315,32918,1412,34330,0.000939871,"$7,187,796",587,"$12,244.97",YES
050320,24263,1370,25633,0.000701768,"$5,366,874",1100,"$4,878.98",YES
050324,5181,1585,6766,0.000185236,N/A,N/A,N/A,NO
050325,0,0,0,,N/A,N/A,N/A,NO
050327,93408,6912,100320,0.002746514,"$21,004,361",5393,"$3,894.99",YES
050329,9432,1868,11300,0.000309366,"$2,365,922",1839,"$1,286.76",YES
050334,8950,2551,11501,0.000314869,"$2,408,006",4294,$560.78,YES
050335,3176,421,3597,0.000098477,N/A,2246,$335.31,SCH
050336,6913,1329,8242,0.000225646,"$1,725,657",2862,$602.96,YES
050342,8531,1486,10017,0.000274241,"$2,097,295",1639,"$1,279.36",YES
050348,37924,4611,42535,0.001164503,"$8,905,707",3371,"$2,641.86",YES
050350,18396,4230,22626,0.000619444,"$4,737,287",2288,"$2,070.79",YES
050351,9441,3284,12725,0.000348379,"$2,664,279",5125,$519.83,YES
050352,1380,223,1603,0.000043886,N/A,628,$534.15,SCH
050353,14279,4079,18358,0.000502597,"$3,843,681",4983,$771.41,YES
050357,224,101,325,0.000008898,N/A,N/A,N/A,NO
050359,9329,1111,10440,0.000285821,"$2,185,861",1324,"$1,650.54",YES
050360,7064,1142,8206,0.000224660,"$1,718,120",3938,$436.26,YES
050367,10368,2171,12539,0.000343287,"$2,625,336",2801,$937.40,YES
050373,94802,3901,98703,0.002702244,"$20,665,804",1268,"$16,302.24",YES
050376,54589,2125,56714,0.001552689,"$11,874,415",1099,"$10,801.47",YES
050378,16444,2542,18986,0.000519790,"$3,975,167",1153,"$3,448.67",YES
